Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
John Day,2022-04-01,Sp,84,16,3,3,,,,,,,,,7.6
John Day,2022-04-02,Sp,47,1,7,4,,,,,,,,,7.8
John Day,2022-04-03,Sp,77,2,9,4,,,,,,,,,8
John Day,2022-04-04,Sp,67,6,1,,,,,,,,,,8.1
John Day,2022-04-05,Sp,44,1,3,2,,,,,,,,,8.2
John Day,2022-04-06,Sp,75,6,1,,,,,,,,,,8.5
John Day,2022-04-07,Sp,38,1,4,2,,,,,,,,,8.9
John Day,2022-04-08,Sp,30,1,2,-1,,,,,,,,,8.7
John Day,2022-04-09,Sp,22,1,2,2,,,,,,,,,8.6
John Day,2022-04-10,Sp,9,,2,,,,,,,,,,8.6
John Day,2022-04-11,Sp,24,1,2,,,,,,,,,,8.6
John Day,2022-04-12,Sp,38,,4,2,,,,,,,,,8.5
John Day,2022-04-13,Sp,41,,,,,,,,,,,,8.5
John Day,2022-04-14,Sp,67,15,4,4,,,,,,,,,8.6
John Day,2022-04-15,Sp,66,7,4,4,,,,,,,,,8.5
John Day,2022-04-16,Sp,29,1,3,3,,,,,,,,,8.6
John Day,2022-04-17,Sp,80,1,4,2,,,,,,,,,8.6
John Day,2022-04-18,Sp,60,,3,2,,,,,,,,,8.8
John Day,2022-04-19,Sp,138,10,2,2,,,,,,,,,8.5
John Day,2022-04-20,Sp,127,6,4,4,,,,,,,,,8.5
John Day,2022-04-21,Sp,242,13,8,4,,,,,,,,,8.6
John Day,2022-04-22,Sp,225,4,1,1,,,,,,,,,8.5
John Day,2022-04-23,Sp,297,5,4,4,,,,,,,,,8.6
John Day,2022-04-24,Sp,294,5,4,3,,,,,,,,,8.9
John Day,2022-04-25,Sp,656,11,1,1,,,,,,,,,8.9
John Day,2022-04-26,Sp,1384,92,7,2,,,,,,,,,8.9
John Day,2022-04-27,Sp,1336,48,,,,,,,,,,,9
John Day,2022-04-28,Sp,1265,38,5,3,,,,,,,,,9.2
John Day,2022-04-29,Sp,3246,115,3,2,,,,,,,,,9.5
John Day,2022-04-30,Sp,2939,122,2,1,,,,,,,,,10
John Day,2022-05-01,Sp,3562,135,2,2,,,,,,,,,10.1
John Day,2022-05-02,Sp,3024,149,2,1,,,,,,,,,10.4
John Day,2022-05-03,Sp,4127,175,1,1,,,,,,,,,10.4
John Day,2022-05-04,Sp,3921,270,2,2,,,,,,,,,10.6
John Day,2022-05-05,Sp,4419,194,2,2,,,,,,,,,11
John Day,2022-05-06,Sp,8027,599,1,-1,,,,,,,,,11
John Day,2022-05-07,Sp,3671,335,1,1,,,,,,,,,11.2
John Day,2022-05-08,Sp,5420,547,1,1,,,,,,,,,11.3
John Day,2022-05-09,Sp,2413,405,,,,,,,,,,,11.3
John Day,2022-05-10,Sp,1499,259,2,1,,,,,,,,,11.2
John Day,2022-05-11,Sp,1445,244,,,,,,,,,,,11.3
John Day,2022-05-12,Sp,2025,286,,,,,,,,,,,11.4
John Day,2022-05-13,Sp,2786,516,1,,,,,,,,,,11.4
John Day,2022-05-14,Sp,4415,952,,,,,,,,,,,11.6
John Day,2022-05-15,Sp,2987,811,2,1,1,,,,,,,,12
John Day,2022-05-16,Sp,1987,564,3,1,,,,,,,,,12
John Day,2022-05-17,Sp,2615,938,1,,,,,,,,,,12.1
John Day,2022-05-18,Sp,2308,1114,1,1,,,,,,,,,12.3
John Day,2022-05-19,Sp,2673,1381,,,,,,,,,,,12.2
John Day,2022-05-20,Sp,2029,1074,,,,,,,1,,,,12.2
John Day,2022-05-21,Sp,1632,644,,,,,,,2,,,,12.3
John Day,2022-05-22,Sp,1409,517,,,,,,,,,,,12.3
John Day,2022-05-23,Sp,957,472,1,,,,,,-1,,,,12.3
John Day,2022-05-24,Sp,1179,435,4,2,,,,,3,,,,12.4
John Day,2022-05-25,Sp,1194,461,,,,,,,,,,,12.4
John Day,2022-05-26,Sp,1230,469,1,,,,,,4,,,,12.7
John Day,2022-05-27,Sp,1430,463,6,3,1,,,,1,,,,12.8
John Day,2022-05-28,Sp,1487,459,2,2,3,,,,5,,,,12.9
John Day,2022-05-29,Sp,1298,310,4,1,4,,,,1,,,,13
John Day,2022-05-30,Sp,1127,268,4,1,2,,,,3,,,,12.9
John Day,2022-05-31,Sp,1517,336,4,1,3,,,,1,,,,13.1
John Day,2022-06-01,Sp,731,170,3,2,13,,,,,,,,13.1
John Day,2022-06-02,Sp,897,250,4,1,26,,,,-1,,,,13
John Day,2022-06-03,Sp,1181,285,2,2,15,,,,-1,,,,13
John Day,2022-06-04,Sp,1400,261,4,1,35,,,,,,,,13.1
John Day,2022-06-05,Sp,1675,285,6,3,70,,,,6,,,,13.6
John Day,2022-06-06,Su,1458,269,7,4,141,,,,8,,,,13.9
John Day,2022-06-07,Su,1050,235,8,4,247,,,,1,,,,14.4
John Day,2022-06-08,Su,1113,182,5,1,545,,,,1,,,,14
John Day,2022-06-09,Su,883,193,25,10,476,,,,15,,,,14.1
John Day,2022-06-10,Su,908,216,10,1,815,,,,2,,,,14.1
John Day,2022-06-11,Su,1267,185,12,6,740,,,,1,,,,14.3
John Day,2022-06-12,Su,1351,205,17,6,705,,,,2,,,,14.3
John Day,2022-06-13,Su,696,176,10,4,666,,,,4,,,,14
John Day,2022-06-14,Su,417,158,34,3,649,,,,,,,,13.6
John Day,2022-06-15,Su,399,155,20,9,873,,,,1,,,,13.5
John Day,2022-06-16,Su,354,129,10,5,842,,,,-2,,,,13.5
John Day,2022-06-17,Su,852,184,19,14,2054,,,,1,,,,13.6
John Day,2022-06-18,Su,861,174,21,10,2152,,,,3,,,,13.8
John Day,2022-06-19,Su,1184,215,21,8,2998,,,,,,,,13.9
John Day,2022-06-20,Su,1172,185,25,16,4319,,,,-1,,,,13.8
John Day,2022-06-21,Su,719,259,35,3,5397,,,,1,,,,13.9
John Day,2022-06-22,Su,1372,306,25,6,7703,,,,2,,,,14
John Day,2022-06-23,Su,1921,293,47,19,14703,,,,4,,,,14.2
John Day,2022-06-24,Su,2269,289,47,24,24935,,,,5,,,,14.7
John Day,2022-06-25,Su,2511,326,78,36,31591,,,,14,,,,15.3
John Day,2022-06-26,Su,2330,347,95,35,35110,,,,6,,,,15.6
John Day,2022-06-27,Su,2969,684,86,49,35306,,,,6,,,,16
John Day,2022-06-28,Su,2660,376,126,58,39117,,,,14,,,,16
John Day,2022-06-29,Su,3060,380,136,56,43688,,,,22,,,,16.3
John Day,2022-06-30,Su,3527,435,175,82,51640,,,,11,,,,16.6
John Day,2022-07-01,Su,3220,639,190,89,50713,,,,11,,,,16.7
John Day,2022-07-02,Su,4000,475,293,136,50498,,,,11,,,,16.8
John Day,2022-07-03,Su,3787,320,357,150,35613,,,,23,,,,16.8
John Day,2022-07-04,Su,2342,255,351,145,21984,,,,39,,,,16.8
John Day,2022-07-05,Su,1329,151,296,108,13113,,,,52,,,,17.1
John Day,2022-07-06,Su,1334,181,246,107,12715,,,,44,,,,17.3
John Day,2022-07-07,Su,1142,134,267,109,14908,,,,81,,,,17.6
John Day,2022-07-08,Su,1253,221,320,127,16905,,,,94,,,,17.9
John Day,2022-07-09,Su,1648,233,476,209,15058,,,,122,,,,18
John Day,2022-07-10,Su,1677,246,527,249,12515,,,,202,,,,18.2
John Day,2022-07-11,Su,1092,195,567,265,9662,,,,235,,,,18.4
John Day,2022-07-12,Su,1103,219,533,230,8383,,,,259,,,,18.6
John Day,2022-07-13,Su,838,192,481,198,6774,,,,348,,,,18.5
John Day,2022-07-14,Su,639,150,625,274,6648,,,,376,,,,18.7
John Day,2022-07-15,Su,709,157,621,279,5360,,,,324,,,,18.9
John Day,2022-07-16,Su,641,143,668,290,5561,,,,308,,,,18.9
John Day,2022-07-17,Su,809,108,663,289,4309,,,,298,,,,19
John Day,2022-07-18,Su,594,65,861,379,3323,,,,458,,,,19
John Day,2022-07-19,Su,433,107,881,363,3046,,,,349,,,,19.3
John Day,2022-07-20,Su,394,97,906,407,3188,,,,408,,,,19.5
John Day,2022-07-21,Su,328,85,776,331,3339,,,,549,,,,19.6
John Day,2022-07-22,Su,351,65,764,297,3279,,,,711,,,,19.7
John Day,2022-07-23,Su,354,71,687,301,2847,,,,873,,,,19.9
John Day,2022-07-24,Su,396,65,794,352,2512,,,,806,,,,20.1
John Day,2022-07-25,Su,253,49,590,280,1714,,,,612,,,,20.4
John Day,2022-07-26,Su,194,74,669,281,1778,,,,865,,,,20.7
John Day,2022-07-27,Su,290,57,687,317,1579,,,,1008,,,,20.9
John Day,2022-07-28,Su,221,42,766,323,1196,,,,853,,,,21.3
John Day,2022-07-29,Su,209,74,673,287,829,,,,861,,,,21.7
John Day,2022-07-30,Su,180,58,711,317,857,,,,761,,,,22
John Day,2022-07-31,Su,206,68,747,357,746,,,,873,,,,22.2
John Day,2022-08-01,Su,393,88,666,295,598,,,,826,,,,22.2
John Day,2022-08-02,Su,221,78,421,194,339,,,,742,,,,22
John Day,2022-08-03,Su,234,36,317,147,228,,,,553,,,,22
John Day,2022-08-04,Su,127,74,222,112,190,,,,432,,,,21.9
John Day,2022-08-05,Su,236,34,195,100,145,,,,393,,,,21.9
John Day,2022-08-06,Fa,196,32,125,49,122,,,,274,,,,21.9
John Day,2022-08-07,Fa,277,41,119,42,124,,,,222,,,,21.8
John Day,2022-08-08,Fa,186,31,109,43,67,,,,296,,,,21.9
John Day,2022-08-09,Fa,192,67,112,39,67,,,,167,,,,21.9
John Day,2022-08-10,Fa,312,50,87,35,61,,,,210,,,,21.9
John Day,2022-08-11,Fa,302,93,116,52,52,,,,235,,,,21.7
John Day,2022-08-12,Fa,409,64,129,43,42,,,,181,,,,21.8
John Day,2022-08-13,Fa,456,85,137,68,38,,,,120,,,,21.7
John Day,2022-08-14,Fa,593,83,163,76,20,,,,153,,,,21.6
John Day,2022-08-15,Fa,580,111,118,55,15,,,,124,,,,21.6
John Day,2022-08-16,Fa,941,65,171,55,14,,,,152,,,,21.8
John Day,2022-08-17,Fa,761,92,137,50,14,,,,163,,,,22.1
John Day,2022-08-18,Fa,916,113,150,59,8,,,,139,,,,22.3
John Day,2022-08-19,Fa,621,93,131,54,4,,,,182,,,,21.9
John Day,2022-08-20,Fa,935,157,208,63,13,1,,,191,,,,21.8
John Day,2022-08-21,Fa,869,198,142,51,14,2,,,196,,,,21.8
John Day,2022-08-22,Fa,919,143,110,43,6,4,1,,165,,,,21.8
John Day,2022-08-23,Fa,493,83,103,29,19,1,2,,193,,,,21.8
John Day,2022-08-24,Fa,429,84,107,33,9,11,5,,93,,,,21.9
John Day,2022-08-25,Fa,539,81,93,23,2,22,11,,111,,,,22.2
John Day,2022-08-26,Fa,1133,153,117,26,1,12,3,,178,,,,22.1
John Day,2022-08-27,Fa,2516,235,130,24,6,14,3,,164,,,,22.1
John Day,2022-08-28,Fa,2162,332,122,39,14,12,7,,159,,,,22.1
John Day,2022-08-29,Fa,2375,542,126,32,8,18,1,,164,,,,22.3
John Day,2022-08-30,Fa,3039,555,265,76,1,14,12,,97,,,,22.3
John Day,2022-08-31,Fa,1927,341,295,90,14,28,17,,159,,,,22.2
John Day,2022-09-01,Fa,2776,646,329,94,3,69,28,,189,,,,22.1
John Day,2022-09-02,Fa,1548,283,258,60,1,128,29,,264,,,,22.2
John Day,2022-09-03,Fa,5413,524,664,108,40,124,25,,248,,,,22
John Day,2022-09-04,Fa,2699,570,545,132,16,185,57,,128,,,,21.9
John Day,2022-09-05,Fa,3876,575,1561,386,,384,107,,150,,,,21.9
John Day,2022-09-06,Fa,3495,769,1284,327,2,196,57,,128,,,,22.1
John Day,2022-09-07,Fa,5454,1198,1130,310,12,224,83,,136,,,,22.1
John Day,2022-09-08,Fa,5565,1087,721,189,,282,89,,66,,,,22
John Day,2022-09-09,Fa,5439,886,578,148,7,525,122,,107,,,,22
John Day,2022-09-10,Fa,6206,1143,677,159,9,402,101,,51,,,,21.8
John Day,2022-09-11,Fa,7283,897,951,221,1,772,158,,47,,,,21.8
John Day,2022-09-12,Fa,5265,1020,1261,297,,897,139,,38,,,,21.6
John Day,2022-09-13,Fa,6338,1132,1860,437,1,989,184,,40,,,,21.5
John Day,2022-09-14,Fa,6429,576,1330,245,,745,97,,47,,,,
John Day,2022-09-15,Fa,5558,900,1172,284,1,1449,219,,55,,,,
John Day,2022-09-16,Fa,5032,666,1493,331,,945,189,,36,,,,
John Day,2022-09-17,Fa,6329,1980,2076,427,,1235,196,,36,,,,
John Day,2022-09-18,Fa,5431,889,1885,387,,1106,127,,23,,,,
John Day,2022-09-19,Fa,4128,1421,1781,385,,1433,219,,13,,,,
John Day,2022-09-20,Fa,6924,1128,2044,425,,1647,248,,23,,,,
John Day,2022-09-21,Fa,4800,1699,2401,525,,1433,244,,18,,,,
John Day,2022-09-22,Fa,3164,962,1917,482,,564,138,,11,,,,
John Day,2022-09-23,Fa,3389,845,1700,348,,1297,171,,14,,,,
John Day,2022-09-24,Fa,4145,802,2566,592,3,1835,240,,14,,,,
John Day,2022-09-25,Fa,3820,704,3308,644,,1737,133,,1,,,,
John Day,2022-09-26,Fa,2482,515,2311,599,,1290,150,,17,,,,
John Day,2022-09-27,Fa,2483,594,2446,537,,1183,230,,1,,,,
John Day,2022-09-28,Fa,2185,866,2668,589,,1686,238,,4,,,,
John Day,2022-09-29,Fa,2332,396,1621,320,,968,110,,2,,,,
John Day,2022-09-30,Fa,1355,688,1240,342,,899,141,,-2,,,,
John Day,2022-10-01,Fa,1278,425,1371,381,,720,98,,4,,,,
John Day,2022-10-02,Fa,1068,533,1398,373,,527,65,,8,,,,
John Day,2022-10-03,Fa,998,300,1173,314,,595,62,,-1,,,,
John Day,2022-10-04,Fa,798,150,1209,246,,467,46,,2,,,,
John Day,2022-10-05,Fa,811,285,939,268,,403,55,,17,,,,
John Day,2022-10-06,Fa,1004,300,820,238,,402,47,,11,,,,
John Day,2022-10-07,Fa,855,421,832,224,,474,74,,-3,,,,
John Day,2022-10-08,Fa,714,253,630,178,,320,37,,-7,,,,
John Day,2022-10-09,Fa,615,339,822,217,,433,60,,-5,,,,
John Day,2022-10-10,Fa,541,216,712,171,,354,47,,5,,,,
John Day,2022-10-11,Fa,462,283,744,219,,776,72,,,,,,
John Day,2022-10-12,Fa,555,284,910,310,,1619,99,,-8,,,,
John Day,2022-10-13,Fa,342,260,819,274,,2012,157,,3,,,,
John Day,2022-10-14,Fa,252,134,544,138,,1110,91,,1,,,,
John Day,2022-10-15,Fa,365,115,485,139,,558,45,,5,,,,
John Day,2022-10-16,Fa,287,83,520,173,,413,39,,-2,,,,
John Day,2022-10-17,Fa,239,66,392,83,,445,39,,2,,,,
John Day,2022-10-18,Fa,190,128,455,119,,449,49,,-9,,,,
John Day,2022-10-19,Fa,213,91,422,140,,440,55,,-9,,,,
John Day,2022-10-20,Fa,222,88,371,133,,468,69,,-5,,,,
John Day,2022-10-21,Fa,205,175,373,137,,1073,157,,-2,,,,
John Day,2022-10-22,Fa,152,133,514,195,,2050,191,,-3,,,,
John Day,2022-10-23,Fa,154,48,589,240,,2172,167,,-2,,,,
John Day,2022-10-24,Fa,444,91,773,280,,5762,363,,3,,,,
John Day,2022-10-25,Fa,213,48,537,229,,1838,89,,-3,,,,
John Day,2022-10-26,Fa,39,11,289,96,,633,57,,3,,,,
John Day,2022-10-27,Fa,62,20,290,116,,560,36,,2,,,,
