Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
McNary,2022-03-01,,,,14,6,,,,,,,,,2.8
McNary,2022-03-02,,,,35,11,,,,,,,,,2.8
McNary,2022-03-03,,,,31,11,,,,,,,,,3.3
McNary,2022-03-04,,,,29,5,,,,,,,,,3.9
McNary,2022-03-05,,,,27,9,,,,,,,,,4.4
McNary,2022-03-06,,,,34,9,,,,,,,,,4.4
McNary,2022-03-07,,,,41,15,,,,,,,,,4.4
McNary,2022-03-08,,1,,24,16,,,,,,,,,4.4
McNary,2022-03-09,,,,22,8,,,,,,,,,4.4
McNary,2022-03-10,,,,23,9,,,,,,,,,4.4
McNary,2022-03-11,,,,25,15,,,,,,,,,4.4
McNary,2022-03-12,,,,32,8,,,,,,,,,4.4
McNary,2022-03-13,,,,22,4,,,,,,,,,4.4
McNary,2022-03-14,,,,23,7,,,,,,,,,4.4
McNary,2022-03-15,,,,25,9,,,,,,,,,4.4
McNary,2022-03-16,,,,22,4,,,,,,,,,4.4
McNary,2022-03-17,,,,18,3,,,,,,,,,5.6
McNary,2022-03-18,,,,17,6,,,,,,,,,5.6
McNary,2022-03-19,,,,23,12,,,,,,,,,5.6
McNary,2022-03-20,,,,29,4,,,,,,,,,5.6
McNary,2022-03-21,,,,38,9,,,,,,,,,6.1
McNary,2022-03-22,,,1,22,7,,,,,,,,,6.1
McNary,2022-03-23,,,,19,3,,,,,,,,,6
McNary,2022-03-24,,,,28,5,,,,,,,,,6.3
McNary,2022-03-25,,,,9,,,,,,,,,,6.4
McNary,2022-03-26,,3,,12,5,,,,,,,,,6.8
McNary,2022-03-27,,,,19,4,,,,,,,,,7
McNary,2022-03-28,,6,,11,1,,,,,,,,,7
McNary,2022-03-29,,3,2,18,2,,,,,,,,,7.3
McNary,2022-03-30,,12,,30,6,,,,,,,,,7.5
McNary,2022-03-31,,11,,23,5,,,,,,,,,7.5
McNary,2022-04-01,Sp,13,,25,16,,,,,,,,,7.7
McNary,2022-04-02,Sp,28,,13,8,,,,,,,,,7.8
McNary,2022-04-03,Sp,37,,18,9,,,,,,,,,7.8
McNary,2022-04-04,Sp,45,1,10,3,,,,,,,,,8
McNary,2022-04-05,Sp,82,,-1,-2,2,,,,,,,,8.1
McNary,2022-04-06,Sp,24,,7,3,,,,,,,,,8.3
McNary,2022-04-07,Sp,60,,,-2,,,,,,,,,8.5
McNary,2022-04-08,Sp,23,,,,,,,,,,,,8.3
McNary,2022-04-09,Sp,117,1,8,5,,,,,,,,,8.3
McNary,2022-04-10,Sp,24,,4,3,,,,,,,,,8.3
McNary,2022-04-11,Sp,17,1,2,2,,,,,,,,,8.1
McNary,2022-04-12,Sp,30,,2,,,,,,,,,,8.1
McNary,2022-04-13,Sp,2,1,3,3,,,,,,,,,8
McNary,2022-04-14,Sp,17,,,,,,,,,,,,7.8
McNary,2022-04-15,Sp,34,,8,4,,,,,,,,,7.8
McNary,2022-04-16,Sp,33,2,3,1,,,,,,,,,7.8
McNary,2022-04-17,Sp,55,1,,1,,,,,,,,,7.8
McNary,2022-04-18,Sp,63,,,,,,,,,,,,7.8
McNary,2022-04-19,Sp,39,1,5,4,,,,,,,,,7.8
McNary,2022-04-20,Sp,72,,1,,,,,,,,,,7.8
McNary,2022-04-21,Sp,64,,5,3,,,,,,,,,7.9
McNary,2022-04-22,Sp,112,1,6,6,,,,,,,,,8.2
McNary,2022-04-23,Sp,282,2,4,4,,,,,,,,,8.3
McNary,2022-04-24,Sp,234,3,3,4,,,,,,,,,8.6
McNary,2022-04-25,Sp,105,,2,2,,,,,,,,,9.1
McNary,2022-04-26,Sp,207,,3,,,,,,-1,,,,9.2
McNary,2022-04-27,Sp,590,4,8,3,,,,,,,,,9.6
McNary,2022-04-28,Sp,971,13,5,3,,,,,,,,,9.6
McNary,2022-04-29,Sp,1329,5,-1,,,,,,,,,,9.7
McNary,2022-04-30,Sp,1043,19,-1,,,,,,,,,,10.1
McNary,2022-05-01,Sp,2231,30,4,3,,,,,,,,,9.8
McNary,2022-05-02,Sp,3000,37,3,1,,,,,,,,,10.2
McNary,2022-05-03,Sp,3723,42,1,2,,,,,,,,,10
McNary,2022-05-04,Sp,2734,45,3,2,,,,,,,,,10.3
McNary,2022-05-05,Sp,3670,58,1,,,,,,,,,,10.6
McNary,2022-05-06,Sp,3795,119,2,2,,,,,,,,,10.9
McNary,2022-05-07,Sp,4438,165,1,1,,,,,,,,,11
McNary,2022-05-08,Sp,6931,269,2,2,,,,,,,,,10.7
McNary,2022-05-09,Sp,2347,166,2,1,,,,,,,,,10.8
McNary,2022-05-10,Sp,5135,339,-1,,,,,,,,,,11
McNary,2022-05-11,Sp,2746,310,-2,,,,,,,,,,11.2
McNary,2022-05-12,Sp,1570,187,-2,-2,,,,,,,,,11.2
McNary,2022-05-13,Sp,1624,244,1,1,,,,,,,,,11
McNary,2022-05-14,Sp,1941,240,,,,,,,,,,,11
McNary,2022-05-15,Sp,2587,423,1,1,,,,,,,,,11.2
McNary,2022-05-16,Sp,3823,611,-1,,,,,,,,,,11.2
McNary,2022-05-17,Sp,3157,911,-2,1,,,,,,,,,11.4
McNary,2022-05-18,Sp,1769,695,,,1,,,,,,,,11.6
McNary,2022-05-19,Sp,2015,751,-1,-1,,,,,,,,,11.3
McNary,2022-05-20,Sp,1937,771,,-2,,,,,,,,,11
McNary,2022-05-21,Sp,2436,1056,,,,,,,,,,,11.1
McNary,2022-05-22,Sp,2242,1019,-1,-1,1,,,,,,,,11.4
McNary,2022-05-23,Sp,1632,728,,,,,,1,,,,,11.7
McNary,2022-05-24,Sp,1528,808,,,,,,,,,,,12.1
McNary,2022-05-25,Sp,1180,477,,-1,,,,,,,,,12.2
McNary,2022-05-26,Sp,885,433,1,,1,,,,1,,,,12.6
McNary,2022-05-27,Sp,1368,468,2,,,,,3,,,,,12.7
McNary,2022-05-28,Sp,1205,471,-1,,1,,,1,,,,,12.5
McNary,2022-05-29,Sp,1069,318,1,,,,,,,,,,12.3
McNary,2022-05-30,Sp,864,313,1,1,1,,,,,,,,12
McNary,2022-05-31,Sp,931,334,,,1,,,2,,,,,11.9
McNary,2022-06-01,Sp,797,243,2,,,,,3,,,,,12.4
McNary,2022-06-02,Sp,1738,405,1,,1,,,5,,,,,12.8
McNary,2022-06-03,Sp,1175,294,,,1,,,9,,,,,13.2
McNary,2022-06-04,Sp,691,217,2,,6,,,34,,,,,13.4
McNary,2022-06-05,Sp,801,214,3,2,9,,,81,,,,,13.2
McNary,2022-06-06,Sp,806,231,3,2,20,,,39,,,,,13.1
McNary,2022-06-07,Sp,1260,226,8,5,43,,,75,,,,,13.2
McNary,2022-06-08,Sp,1371,182,7,4,72,,,189,,,,,13.4
McNary,2022-06-09,Su,1270,221,3,2,151,,,1447,,,,,13.7
McNary,2022-06-10,Su,1419,214,1,1,480,,,1242,,,,,13.7
McNary,2022-06-11,Su,839,191,1,-1,423,,,584,,,,,13.5
McNary,2022-06-12,Su,449,107,2,1,228,,,152,,,,,13.3
McNary,2022-06-13,Su,498,107,1,1,375,,,44,,,,,13
McNary,2022-06-14,Su,389,87,5,4,262,,,38,,,,,12.9
McNary,2022-06-15,Su,720,102,7,4,437,,,61,,,,,13.1
McNary,2022-06-16,Su,704,125,5,,500,,,99,,,,,13.3
McNary,2022-06-17,Su,822,137,4,1,525,,,156,,,,,13.3
McNary,2022-06-18,Su,372,105,7,,452,,,115,,,,,13.2
McNary,2022-06-19,Su,466,105,7,2,612,,,42,,,,,13.1
McNary,2022-06-20,Su,964,140,5,,1174,,,34,,,,,13.2
McNary,2022-06-21,Su,1392,174,17,10,2283,,,1475,,,,,13.6
McNary,2022-06-22,Su,1512,132,20,9,4430,,,9462,,,,,14.2
McNary,2022-06-23,Su,1156,136,22,10,3267,,,25046,,,,,14.7
McNary,2022-06-24,Su,1551,112,16,7,8020,,,15738,1,,,,14.9
McNary,2022-06-25,Su,1597,101,16,9,11332,,,15011,,,,,15.2
McNary,2022-06-26,Su,1965,163,22,14,16822,,,20318,,,,,15.5
McNary,2022-06-27,Su,2261,146,35,18,28346,,,28807,1,,,,15.7
McNary,2022-06-28,Su,2466,263,63,20,31302,,,29640,2,,,,15.8
McNary,2022-06-29,Su,2574,359,59,19,42386,,,19035,,,,,15.8
McNary,2022-06-30,Su,2081,320,60,28,36979,,,35384,1,,,,16
McNary,2022-07-01,Su,2453,286,88,38,39382,,,41863,1,,,,16.2
McNary,2022-07-02,Su,3179,352,111,29,50283,,,52039,2,,,,16.5
McNary,2022-07-03,Su,3917,337,191,68,50645,,,63234,1,,,,16.8
McNary,2022-07-04,Su,4126,346,166,46,54501,,,57463,3,,,,16.8
McNary,2022-07-05,Su,3327,165,195,77,29963,,,35338,2,,,,17.1
McNary,2022-07-06,Su,2536,134,209,98,21641,,,41526,1,,,,17.1
McNary,2022-07-07,Su,1830,67,203,72,14165,,,37418,1,,,,17
McNary,2022-07-08,Su,1483,179,237,51,13332,,,25942,2,,,,17
McNary,2022-07-09,Su,1298,146,209,59,13784,,,24573,2,,,,17.2
McNary,2022-07-10,Su,1364,173,277,83,15904,,,28813,14,,,,17.3
McNary,2022-07-11,Su,1340,165,234,49,13899,,,21848,,,,,17.5
McNary,2022-07-12,Su,1575,169,280,77,11183,,,15071,3,,,,17.7
McNary,2022-07-13,Su,1381,126,326,97,9548,,,15697,1,,,,17.8
McNary,2022-07-14,Su,1064,83,347,104,8051,,,12707,5,,,,18
McNary,2022-07-15,Su,1233,107,487,197,7545,,,7699,3,,,,18.1
McNary,2022-07-16,Su,1033,93,511,230,7203,,,7450,2,,,,18.4
McNary,2022-07-17,Su,801,76,503,206,6167,,,8273,6,,,,18.5
McNary,2022-07-18,Su,809,59,564,255,5681,,,4572,6,,,,18.7
McNary,2022-07-19,Su,634,102,515,210,3676,,,5378,9,,,,19
McNary,2022-07-20,Su,688,106,526,195,3228,,,5286,4,,,,19
McNary,2022-07-21,Su,444,45,478,221,2584,,,4597,15,,,,19.3
McNary,2022-07-22,Su,501,50,613,263,3101,,,5883,10,,,,19.5
McNary,2022-07-23,Su,368,34,737,280,2946,,,6054,36,,,,19.7
McNary,2022-07-24,Su,407,37,766,274,2731,,,4011,46,,,,19.9
McNary,2022-07-25,Su,404,40,849,324,2576,,,2886,98,,,,20.1
McNary,2022-07-26,Su,379,33,744,334,2131,,,3041,91,,,,20.2
McNary,2022-07-27,Su,279,38,604,270,1530,,,2675,35,,,,20.4
McNary,2022-07-28,Su,250,31,621,273,1393,,,2110,39,,,,20.6
McNary,2022-07-29,Su,273,56,649,277,1241,,,2294,77,,,,20.9
McNary,2022-07-30,Su,257,40,708,294,1007,,,2095,17,,,,21.1
McNary,2022-07-31,Su,243,46,915,386,648,,,1955,69,,,,21.2
McNary,2022-08-01,Su,213,42,657,286,687,,,2668,69,,,,21.3
McNary,2022-08-02,Su,255,41,578,227,658,,,1031,65,,,,21.1
McNary,2022-08-03,Su,312,22,622,252,438,,,818,163,,,,21
McNary,2022-08-04,Su,279,43,676,266,277,,,1058,133,,,,20.8
McNary,2022-08-05,Su,253,35,495,227,214,,,592,155,,,,20.9
McNary,2022-08-06,Su,157,25,338,153,147,,,1361,90,,,,20.9
McNary,2022-08-07,Su,197,34,284,134,87,,,636,135,,,,20.6
McNary,2022-08-08,Su,187,20,177,94,99,,,573,125,,,,20.6
McNary,2022-08-09,Fa,271,34,157,67,73,,,567,63,,,,20.8
McNary,2022-08-10,Fa,235,33,195,90,55,,,503,183,,,,21
McNary,2022-08-11,Fa,164,25,98,52,45,,,550,181,,,,21
McNary,2022-08-12,Fa,332,38,121,50,55,,,312,147,,,,20.9
McNary,2022-08-13,Fa,317,47,123,51,43,,,564,58,,,,20.8
McNary,2022-08-14,Fa,382,33,152,56,27,,,448,69,,,,21
McNary,2022-08-15,Fa,435,51,191,68,37,,,518,93,,,,20.9
McNary,2022-08-16,Fa,660,57,117,58,29,,,341,57,,,,20.9
McNary,2022-08-17,Fa,587,26,144,62,17,,,247,61,,,,20.9
McNary,2022-08-18,Fa,897,28,145,67,12,,,268,56,,,,21
McNary,2022-08-19,Fa,773,74,150,60,8,,,279,97,,,,21.3
McNary,2022-08-20,Fa,1010,108,157,59,7,1,,253,161,,,,21.3
McNary,2022-08-21,Fa,695,101,177,53,9,,,196,221,,,,21.4
McNary,2022-08-22,Fa,924,67,176,77,8,1,,207,246,,,,21.4
McNary,2022-08-23,Fa,936,70,195,68,12,,,99,181,,,,21.6
McNary,2022-08-24,Fa,811,60,139,46,7,3,,122,175,,,,21.9
McNary,2022-08-25,Fa,519,61,96,32,2,1,,76,171,,,,22
McNary,2022-08-26,Fa,401,37,100,35,4,1,,90,96,,,,21.9
McNary,2022-08-27,Fa,609,53,125,40,5,2,,88,133,,,,21.7
McNary,2022-08-28,Fa,1164,89,151,59,3,1,,132,115,,,,21.6
McNary,2022-08-29,Fa,2053,89,110,34,4,1,1,68,103,,,,21.6
McNary,2022-08-30,Fa,2174,231,107,33,12,2,,18,92,,,,21.6
McNary,2022-08-31,Fa,2130,265,130,48,2,-1,2,55,75,,,,21.4
McNary,2022-09-01,Fa,2552,467,132,31,1,15,4,,72,,,,21.4
McNary,2022-09-02,Fa,2008,234,310,79,1,10,7,,68,,,,21.6
McNary,2022-09-03,Fa,3231,331,277,66,,25,21,,44,,,,21.5
McNary,2022-09-04,Fa,1897,192,380,69,1,51,16,,49,,,,21.4
McNary,2022-09-05,Fa,4633,774,497,115,1,64,20,,40,,,,21.5
McNary,2022-09-06,Fa,2929,211,615,161,1,151,40,,33,,,,21.4
McNary,2022-09-07,Fa,3605,300,655,182,1,116,3,,38,,,,
McNary,2022-09-08,Fa,3528,265,1304,352,1,126,8,,37,,,,
McNary,2022-09-09,Fa,4403,1235,1301,240,,386,101,,21,,,,
McNary,2022-09-10,Fa,4909,1230,818,174,,206,97,,17,,,,
McNary,2022-09-11,Fa,5053,1041,606,153,1,224,67,,13,,,,
McNary,2022-09-12,Fa,5327,1524,483,82,,244,83,,21,,,,
McNary,2022-09-13,Fa,6031,1050,644,132,,295,97,,23,,,,
McNary,2022-09-14,Fa,4542,714,1162,212,,664,147,,19,,,,
McNary,2022-09-15,Fa,4898,1246,1543,250,,705,194,,17,,,,
McNary,2022-09-16,Fa,5735,703,1675,377,1,904,109,,26,,,,
McNary,2022-09-17,Fa,4586,738,985,227,,914,47,,14,,,,
McNary,2022-09-18,Fa,4664,509,941,218,,737,40,,15,,,,
McNary,2022-09-19,Fa,5907,913,1323,281,,650,74,,16,,,,
McNary,2022-09-20,Fa,5028,1051,1831,292,,1120,266,,17,,,,
McNary,2022-09-21,Fa,3888,613,1764,338,,1329,252,,19,,,,
McNary,2022-09-22,Fa,5131,879,1708,362,,1379,245,,10,,,,
McNary,2022-09-23,Fa,4577,950,2180,432,,1446,262,,4,,,,
McNary,2022-09-24,Fa,3206,644,1777,396,,1014,118,,5,,,,
McNary,2022-09-25,Fa,3240,573,1744,380,,1113,142,,5,,,,
McNary,2022-09-26,Fa,3729,683,1388,283,,952,98,,4,,,,
McNary,2022-09-27,Fa,3931,700,2535,556,,1579,40,,6,,,,
McNary,2022-09-28,Fa,2420,680,2507,638,,1555,59,,3,,,,
McNary,2022-09-29,Fa,2330,549,2919,753,,1635,69,,4,,,,
McNary,2022-09-30,Fa,2366,548,2266,544,,1506,176,,7,,,,
McNary,2022-10-01,Fa,2191,645,2396,576,,1278,138,,3,,,,
McNary,2022-10-02,Fa,1516,498,1274,324,1,796,103,,3,,,,
McNary,2022-10-03,Fa,1262,385,1157,298,2,737,107,,3,,,,
McNary,2022-10-04,Fa,1189,295,1239,312,,485,70,,3,,,,
McNary,2022-10-05,Fa,840,298,1097,310,,457,39,,3,,,,
McNary,2022-10-06,Fa,715,246,1043,257,2,456,47,,1,,,,
McNary,2022-10-07,Fa,880,174,1050,245,,329,34,,6,,,,
McNary,2022-10-08,Fa,907,216,786,205,,348,21,,1,,,,
McNary,2022-10-09,Fa,976,247,784,215,,560,14,,1,,,,
McNary,2022-10-10,Fa,753,185,691,202,,395,14,,2,,,,
McNary,2022-10-11,Fa,738,245,1077,322,,501,52,,6,,,,
McNary,2022-10-12,Fa,658,317,987,262,,398,36,,4,,,,
McNary,2022-10-13,Fa,433,191,693,182,,321,35,,1,,,,
McNary,2022-10-14,Fa,573,244,636,182,,757,55,,3,,,,
McNary,2022-10-15,Fa,461,204,836,234,,1842,112,,2,,,,
McNary,2022-10-16,Fa,308,143,773,245,,1274,86,,1,,,,
McNary,2022-10-17,Fa,266,82,549,148,,927,84,,,,,,
McNary,2022-10-18,Fa,252,76,430,129,,528,22,,3,,,,
McNary,2022-10-19,Fa,219,67,454,137,,473,20,,1,,,,
McNary,2022-10-20,Fa,217,62,483,146,,499,19,,1,,,,
McNary,2022-10-21,Fa,188,81,461,147,,559,29,,,,,,
McNary,2022-10-22,Fa,184,85,638,233,,820,53,,,,,,
McNary,2022-10-23,Fa,194,67,399,132,,1004,30,,,,,,
McNary,2022-10-24,Fa,225,93,577,214,,2006,171,,2,,,,
McNary,2022-10-25,Fa,154,58,699,250,,2207,175,,,,,,
McNary,2022-10-26,Fa,149,55,728,282,,5326,287,,,,,,
McNary,2022-10-27,Fa,183,69,561,220,,2066,245,,,,,,
McNary,2022-10-28,Fa,45,25,344,145,,910,47,,,,,,
McNary,2022-10-29,Fa,27,11,324,125,,625,34,,,,,,
McNary,2022-10-30,Fa,142,49,334,145,,1649,61,,,,,,
McNary,2022-10-31,Fa,43,39,299,115,,904,146,,,,,,
McNary,2022-11-01,,59,5,222,112,,344,16,,,,,,
McNary,2022-11-02,,35,8,115,46,,193,17,,,,,,
McNary,2022-11-03,,35,1,136,58,,190,18,,,,,,
McNary,2022-11-04,,58,9,136,63,,308,15,,,,,,
McNary,2022-11-05,,67,15,173,78,,483,35,,,,,,
McNary,2022-11-06,,34,6,137,70,,242,10,,,,,,
McNary,2022-11-07,,13,,70,24,,121,15,,,,,,
McNary,2022-11-08,,11,1,186,81,,508,28,,,,,,
McNary,2022-11-09,,52,24,261,104,,455,110,,,,,,
McNary,2022-11-10,,28,14,323,137,,183,55,,,,,,
McNary,2022-11-11,,14,3,250,129,,187,16,,,,,,
McNary,2022-11-12,,6,3,159,84,,107,9,,,,,,
McNary,2022-11-13,,18,4,96,60,,108,9,,,,,,
McNary,2022-11-14,,3,1,56,28,,43,3,,,,,,
McNary,2022-11-15,,4,,72,36,,48,7,,,,,,
McNary,2022-11-16,,5,,51,28,,16,6,,,,,,
McNary,2022-11-17,,1,1,35,15,,16,3,,,,,,
McNary,2022-11-18,,2,,33,20,,17,5,,,,,,
McNary,2022-11-19,,4,2,51,24,,9,4,,,,,,
McNary,2022-11-20,,2,,17,8,,11,1,,,,,,
McNary,2022-11-21,,5,,21,16,,1,2,,,,,,
McNary,2022-11-22,,1,1,12,2,,6,1,,,,,,
McNary,2022-11-23,,,,7,6,,3,1,,,,,,
McNary,2022-11-24,,2,2,13,4,,8,1,,,,,,
McNary,2022-11-25,,,1,14,6,,1,2,,,,,,
McNary,2022-11-26,,1,1,15,8,,5,2,,,,,,
McNary,2022-11-27,,,3,24,18,,6,3,,,,,,
McNary,2022-11-28,,1,2,13,4,,1,,,,,,,
McNary,2022-11-29,,,2,18,11,,3,,,,,,,
McNary,2022-11-30,,,1,17,8,,,1,,,,,,
McNary,2022-12-01,,3,2,17,5,,1,,,,,,,
McNary,2022-12-02,,2,2,8,6,,1,,,,,,,
McNary,2022-12-03,,2,2,4,1,,1,,,,,,,
McNary,2022-12-04,,1,,5,3,,2,,,,,,,
