Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Priest Rapids,2022-04-15,,6,,1,,,,,,,,,,6.4
Priest Rapids,2022-04-16,,27,,,,,,,,,,,,6.5
Priest Rapids,2022-04-17,,4,,,,,,,,,,,,6.5
Priest Rapids,2022-04-18,,6,,,,,,,,,,,,6.5
Priest Rapids,2022-04-19,,2,,,,,,,,,,,,6.4
Priest Rapids,2022-04-20,,4,,,,,,,,,,,,6.4
Priest Rapids,2022-04-21,,,,,,,,,,,,,,6.6
Priest Rapids,2022-04-22,,17,,-1,,,,,,,,,,6.9
Priest Rapids,2022-04-23,,10,,,,,,,,,,,,7.3
Priest Rapids,2022-04-24,,15,,,,,,,,,,,,7.5
Priest Rapids,2022-04-25,,25,,,,,,,,,,,,7.5
Priest Rapids,2022-04-26,,18,,,,,,,,,,,,7.7
Priest Rapids,2022-04-27,,40,,,,,,,,,,,,7.9
Priest Rapids,2022-04-28,,69,,,,,,,,,,,,8
Priest Rapids,2022-04-29,,45,,,,,,,,,,,,8.3
Priest Rapids,2022-04-30,,71,3,,,,,,,1,,,,8.4
Priest Rapids,2022-05-01,,295,1,,,,,,,,,,,8.7
Priest Rapids,2022-05-02,,285,,,,,,,,,,,,9
Priest Rapids,2022-05-03,,380,,,,,,,,,,,,9
Priest Rapids,2022-05-04,,539,2,,,,,,,,,,,9.6
Priest Rapids,2022-05-05,,561,,,,,,,,,,,,9.4
Priest Rapids,2022-05-06,,900,5,,,,,,,,,,,9.4
Priest Rapids,2022-05-07,,783,9,,,,,,,,,,,9.5
Priest Rapids,2022-05-08,,825,11,,,,,,,,,,,9.4
Priest Rapids,2022-05-09,,1122,18,1,,,,,,,,,,9.3
Priest Rapids,2022-05-10,,1062,16,,,,,,,,,,,9.4
Priest Rapids,2022-05-11,,1382,16,1,,,,,,,,,,9.5
Priest Rapids,2022-05-12,,1069,34,5,,,,,,,,,,9.6
Priest Rapids,2022-05-13,,735,30,,,,,,,,,,,9.5
Priest Rapids,2022-05-14,,916,64,,,,,,,,,,,9.5
Priest Rapids,2022-05-15,,653,45,,,,,,,,,,,9.5
Priest Rapids,2022-05-16,,411,78,,,,,,,,,,,9.6
Priest Rapids,2022-05-17,,326,9,,,,,,,,,,,9.6
Priest Rapids,2022-05-18,,677,81,,,,,,,,,,,9.7
Priest Rapids,2022-05-19,,570,50,,,,,,,,,,,9.7
Priest Rapids,2022-05-20,,681,108,,,,,,,2,,,,9.7
Priest Rapids,2022-05-21,,490,200,,,,,,,,,,,10
Priest Rapids,2022-05-22,,473,133,,,,,,,,,,,10.2
Priest Rapids,2022-05-23,,486,221,,,,,,,,,,,10.3
Priest Rapids,2022-05-24,,387,180,,,,,,,,,,,10.3
Priest Rapids,2022-05-25,,556,263,1,,,,,,,,,,10.3
Priest Rapids,2022-05-26,,219,242,4,,,,,,,,,,10.4
Priest Rapids,2022-05-27,,404,191,,,,,,,,,,,10.5
Priest Rapids,2022-05-28,,243,250,4,,,,,,,,,,10.5
Priest Rapids,2022-05-29,,397,100,,,3,,,,,,,,10.6
Priest Rapids,2022-05-30,,195,127,,,,,,,,,,,10.6
Priest Rapids,2022-05-31,,153,104,,,,,,,,,,,10.7
Priest Rapids,2022-06-01,,203,134,,,,,,,,,,,11
Priest Rapids,2022-06-02,,251,117,,,,,,,,,,,11.2
Priest Rapids,2022-06-03,,292,42,,,2,,,,,,,,11.3
Priest Rapids,2022-06-04,,209,90,,,,,,,,,,,11.4
Priest Rapids,2022-06-05,,278,85,,,1,,,,,,,,11.6
Priest Rapids,2022-06-06,,217,26,,,,,,,,,,,11.6
Priest Rapids,2022-06-07,,166,59,,,,,,,1,,,,11.8
Priest Rapids,2022-06-08,,125,34,,,,,,,,,,,11.7
Priest Rapids,2022-06-09,,99,35,,,,,,,2,,,,11.9
Priest Rapids,2022-06-10,,142,36,,,,,,,2,,,,11.7
Priest Rapids,2022-06-11,,110,12,,,3,,,,-2,,,,11.8
Priest Rapids,2022-06-12,,141,28,,,12,,,,1,,,,11.9
Priest Rapids,2022-06-13,,324,40,,,34,,,,1,,,,11.8
Priest Rapids,2022-06-14,,279,45,,,30,,,,,,,,11.9
Priest Rapids,2022-06-15,,99,31,,,34,,,,,,,,11.9
Priest Rapids,2022-06-16,,122,9,,,48,,,,,,,,12.1
Priest Rapids,2022-06-17,,218,6,,,73,,,,1,,,,12.2
Priest Rapids,2022-06-18,,218,13,,,33,,,,,,,,12.1
Priest Rapids,2022-06-19,,246,15,,,88,,,,,,,,12.1
Priest Rapids,2022-06-20,,161,36,1,,103,,,,,,,,12.5
Priest Rapids,2022-06-21,,441,47,3,,137,,,,8,,,,12.9
Priest Rapids,2022-06-22,,409,7,,,144,,,,1,,,,13.1
Priest Rapids,2022-06-23,,216,7,1,,260,,,,,,,,13.5
Priest Rapids,2022-06-24,,682,9,,,672,,,,-1,,,,13.6
Priest Rapids,2022-06-25,,524,31,4,,819,,,,3,,,,13.9
Priest Rapids,2022-06-26,,940,25,5,,1140,,,,7,,,,14
Priest Rapids,2022-06-27,,525,15,2,,728,,,,11,,,,14.1
Priest Rapids,2022-06-28,,953,3,,,3313,,,,16,,,,14.1
Priest Rapids,2022-06-29,,649,26,,,2896,,,,8,,,,14.3
Priest Rapids,2022-06-30,,1317,12,8,,8584,,,,21,,,,14.9
Priest Rapids,2022-07-01,,2440,49,8,,29666,,,,37,,,,15.1
Priest Rapids,2022-07-02,,2933,10,2,,43182,,,,15,,,,15.2
Priest Rapids,2022-07-03,,2325,13,14,,44835,,,,10,,,,15.3
Priest Rapids,2022-07-04,,2799,4,6,,48373,,,,15,,,,15.4
Priest Rapids,2022-07-05,,3349,37,15,,47120,,,,17,,,,15.1
Priest Rapids,2022-07-06,,2727,30,7,,47900,,,,27,,,,15.2
Priest Rapids,2022-07-07,,3269,5,12,,56911,,,,14,,,,15.6
Priest Rapids,2022-07-08,,3512,7,13,,54831,,,,1,,,,15.5
Priest Rapids,2022-07-09,,3410,46,12,,49141,,,,19,,,,15.5
Priest Rapids,2022-07-10,,2394,15,21,,15985,,,,6,,,,15.7
Priest Rapids,2022-07-11,,2472,69,18,,18647,,,,11,,,,16
Priest Rapids,2022-07-12,,2579,1,15,,21493,,,,10,,,,16.2
Priest Rapids,2022-07-13,,1874,19,26,,19690,,,,19,,,,16.5
Priest Rapids,2022-07-14,,2255,18,34,,20861,,,,12,,,,16.8
Priest Rapids,2022-07-15,,1834,39,21,,19684,,,,8,,,,17.1
Priest Rapids,2022-07-16,,1699,2,43,,13254,,,,28,,,,17.2
Priest Rapids,2022-07-17,,1853,18,36,,17513,,,,9,,,,17.3
Priest Rapids,2022-07-18,,433,4,8,,4960,,,,7,,,,
Priest Rapids,2022-07-19,,1239,,6,,7926,,,,3,,,,
Priest Rapids,2022-07-20,,1049,22,39,,8172,,,,9,,,,
Priest Rapids,2022-07-21,,890,8,40,,7214,,,,15,,,,17.9
Priest Rapids,2022-07-22,,598,4,20,,4696,,,,22,,,,18.1
Priest Rapids,2022-07-23,,956,1,67,,4385,,,,15,,,,18.2
Priest Rapids,2022-07-24,,598,,78,,3589,,,,19,,,,18.2
Priest Rapids,2022-07-25,,516,2,20,,3686,,,,22,,,,18.5
Priest Rapids,2022-07-26,,377,3,25,,3526,,,,7,,,,18.7
Priest Rapids,2022-07-27,,481,6,63,,3279,,,,20,,,,18.9
Priest Rapids,2022-07-28,,137,,13,,2069,,,,29,,,,18.9
Priest Rapids,2022-07-29,,317,2,23,,2021,,,,37,,,,19.2
Priest Rapids,2022-07-30,,365,1,143,,2317,1,,,92,,,,19.3
Priest Rapids,2022-07-31,,219,32,59,,1552,,,,100,,,,19.3
Priest Rapids,2022-08-01,,297,,25,,1491,,,,57,,,,19.4
Priest Rapids,2022-08-02,,170,2,22,,964,,,,89,,,,19.3
Priest Rapids,2022-08-03,,222,11,70,,696,1,,,114,,,,19.2
Priest Rapids,2022-08-04,,119,14,22,,461,,,,138,,,,19
Priest Rapids,2022-08-05,,188,11,43,,464,,,,143,,,,18.9
Priest Rapids,2022-08-06,,205,,37,,387,,,,136,,,,18.9
Priest Rapids,2022-08-07,,136,5,5,,430,,,,91,,,,19
Priest Rapids,2022-08-08,,165,6,27,,146,,,,163,,,,19.1
Priest Rapids,2022-08-09,,60,7,15,,207,,,,89,,,,19.2
Priest Rapids,2022-08-10,,72,,9,,136,,,,124,,,,19.1
Priest Rapids,2022-08-11,,161,7,29,,128,,,,329,,,,19.4
Priest Rapids,2022-08-12,,120,2,15,,221,,,,219,,,,19.4
Priest Rapids,2022-08-13,,119,11,17,,111,,,,196,,,,19.2
Priest Rapids,2022-08-14,,90,2,27,,52,,,,199,,,,19.2
Priest Rapids,2022-08-15,,86,4,44,,54,1,,,249,,,,19.2
Priest Rapids,2022-08-16,,42,5,13,,136,,,,288,,,,19.6
Priest Rapids,2022-08-17,,156,1,24,,84,,,,214,,,,19.9
Priest Rapids,2022-08-18,,84,3,49,,21,,,,465,,,,19.9
Priest Rapids,2022-08-19,,123,3,44,,69,,,,356,,,,20
Priest Rapids,2022-08-20,,94,1,27,,59,,,,222,,,,20
Priest Rapids,2022-08-21,,201,,60,,24,,,,355,,,,20.1
Priest Rapids,2022-08-22,,202,1,31,,54,,,,242,,,,20.1
Priest Rapids,2022-08-23,,171,2,18,,22,,,,130,,,,20.2
Priest Rapids,2022-08-24,,187,,88,,11,,,,127,,,,20.5
Priest Rapids,2022-08-25,,120,14,63,,2,,,,353,,,,20.6
Priest Rapids,2022-08-26,,197,3,27,,27,,,,293,,,,20.7
Priest Rapids,2022-08-27,,344,6,62,,29,,,,213,,,,20.6
Priest Rapids,2022-08-28,,104,,9,,,,,,120,,,,20.1
Priest Rapids,2022-08-29,,117,5,16,,25,,,,256,,,,20
Priest Rapids,2022-08-30,,218,10,52,,67,,,,513,,,,20
Priest Rapids,2022-08-31,,120,1,30,,1,1,,,405,,,,20.2
Priest Rapids,2022-09-01,,370,,6,,106,,,,153,,,,20.1
Priest Rapids,2022-09-02,,340,13,30,,1,29,,,536,,,,20.3
Priest Rapids,2022-09-03,,628,,47,,4,33,,,165,,,,20.3
Priest Rapids,2022-09-04,,203,5,3,,1,17,1,,167,,,,20.3
Priest Rapids,2022-09-05,,648,,58,,,16,1,,123,,,,20.6
Priest Rapids,2022-09-06,,570,10,35,,,22,5,,73,,,,20.2
Priest Rapids,2022-09-07,,595,22,89,,1,109,1,,133,,,,20.2
Priest Rapids,2022-09-08,,670,23,75,,17,152,,,140,,,,19.8
Priest Rapids,2022-09-09,,828,31,74,,1,89,4,,86,,,,19.7
Priest Rapids,2022-09-10,,209,8,91,,,427,6,,127,,,,19.7
Priest Rapids,2022-09-11,,302,,108,,1,570,2,,44,,,,19.7
Priest Rapids,2022-09-12,,1037,31,156,,,765,14,,88,,,,19.8
Priest Rapids,2022-09-13,,1372,24,40,,1,96,4,,50,,,,19.7
Priest Rapids,2022-09-14,,461,8,85,,3,884,5,,73,,,,19.6
Priest Rapids,2022-09-15,,1242,115,130,,17,187,15,,232,,,,19.5
Priest Rapids,2022-09-16,,869,10,127,,,1194,48,,220,,,,19.5
Priest Rapids,2022-09-17,,1055,54,82,,2,169,31,,80,,,,19.1
Priest Rapids,2022-09-18,,438,31,92,,,736,21,,39,,,,18.8
Priest Rapids,2022-09-19,,806,44,25,,5,245,4,,99,,,,18.8
Priest Rapids,2022-09-20,,953,23,81,,3,326,11,,70,,,,19.1
Priest Rapids,2022-09-21,,290,87,94,,,737,61,,80,,,,19.1
Priest Rapids,2022-09-22,,733,184,75,,2,368,149,,96,,,,18.9
Priest Rapids,2022-09-23,,613,32,57,,1,291,28,,50,,,,18.6
Priest Rapids,2022-09-24,,425,24,107,,,1071,34,,37,,,,18.1
Priest Rapids,2022-09-25,,471,41,36,,,489,17,,32,,,,18.1
