Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Rock Island,2022-01-05,,,,,,,,,,,,,,4
Rock Island,2022-01-06,,,,,,,1,,,,,,,3.8
Rock Island,2022-01-13,,,,,,,,,,,,,,3.6
Rock Island,2022-01-15,,,,,,,1,,,,,,,3.8
Rock Island,2022-01-18,,,,1,1,,,,,,,,,3.6
Rock Island,2022-01-30,,,,,,,1,,,,,,,2.4
Rock Island,2022-01-31,,,,,,,,,,,,,,2.5
Rock Island,2022-02-02,,,,,,,,,,,,,,2.2
Rock Island,2022-02-06,,,,,,,,,,,,,,2.2
Rock Island,2022-02-07,,,,,,,,,,,,,,2.3
Rock Island,2022-02-24,,,,1,1,,,,,,,,,2.8
Rock Island,2022-02-26,,,,,,,,,,,,,,2.8
Rock Island,2022-03-02,,,,1,,,,,,,,,,3.3
Rock Island,2022-03-07,,,,,,,,,,,,,,3.7
Rock Island,2022-03-11,,,,1,1,,,,,,,,,3.5
Rock Island,2022-03-12,,,,,,,,,,,,,,3.4
Rock Island,2022-03-13,,,,1,,,,,,,,,,3.6
Rock Island,2022-03-14,,,,1,,,,,,,,,,3.6
Rock Island,2022-03-17,,,,1,1,,,,,,,,,4.2
Rock Island,2022-03-18,,,,,,,,,,,,,,4.2
Rock Island,2022-03-19,,,,1,1,,,,,,,,,4.3
Rock Island,2022-03-20,,,,1,1,,,,,,,,,4.4
Rock Island,2022-03-21,,,,,,,,,,,,,,4.4
Rock Island,2022-03-22,,,,2,2,,,,,,,,,4.6
Rock Island,2022-03-23,,,,1,1,,,,,,,,,4.7
Rock Island,2022-03-24,,,,,,,,,,,,,,4.8
Rock Island,2022-03-25,,,,3,3,,,,,,,,,4.6
Rock Island,2022-03-26,,,,,,,,,,,,,,4.8
Rock Island,2022-03-27,,,,,,,,,,,,,,5.2
Rock Island,2022-03-28,,,,,,,,,,,,,,5.3
Rock Island,2022-03-29,,,,,,,,,,,,,,5.3
Rock Island,2022-03-30,,,,,,,,,,,,,,5.6
Rock Island,2022-03-31,,,,4,4,,,,,,,,,5.8
Rock Island,2022-04-01,,,,,,,,,,,,,,5.7
Rock Island,2022-04-02,,,,2,,,,,,,,,,5.8
Rock Island,2022-04-03,,,,2,1,,,,,,,,,5.9
Rock Island,2022-04-04,,,,3,1,,,,,,,,,5.9
Rock Island,2022-04-05,,,,4,2,,,,,,,,,5.9
Rock Island,2022-04-06,,,,,,,,,,,,,,5.9
Rock Island,2022-04-07,,,,1,1,,,,,,,,,5.9
Rock Island,2022-04-08,,,,1,1,,,,,,,,,6.1
Rock Island,2022-04-09,,,,1,1,,,,,,,,,6.2
Rock Island,2022-04-10,,,,1,1,,,,,,,,,6.2
Rock Island,2022-04-11,,,,2,,,,,,,,,,6.1
Rock Island,2022-04-12,,,,2,1,,,,,,,,,6
Rock Island,2022-04-13,,,,3,,,,,,,,,,5.8
Rock Island,2022-04-14,,,,4,1,,,,,,,,,5.7
Rock Island,2022-04-15,,1,,3,1,,,,,,,,,5.8
Rock Island,2022-04-16,,,,,,,,,,,,,,5.8
Rock Island,2022-04-17,,7,,,,,,,,,,,,5.9
Rock Island,2022-04-18,,1,,3,2,,,,,,,,,6.2
Rock Island,2022-04-19,,4,,1,1,,,,,,,,,6.1
Rock Island,2022-04-20,,11,,1,,,,,,,,,,6.2
Rock Island,2022-04-21,,8,,1,1,,,,,,,,,6.4
Rock Island,2022-04-22,,5,,2,2,,,,,,,,,6.6
Rock Island,2022-04-23,,1,,,,,,,,,,,,6.8
Rock Island,2022-04-24,,1,,,,,,,,,,,,7.1
Rock Island,2022-04-25,,1,,,,,,,,,,,,7.4
Rock Island,2022-04-26,,62,2,,,,,,,,,,,7.6
Rock Island,2022-04-27,,23,,1,1,,,,,,,,,7.9
Rock Island,2022-04-28,,16,,2,1,,,,,,,,,8
Rock Island,2022-04-29,,6,,,,,,,,,,,,8
Rock Island,2022-04-30,,40,,,,,,,,,1,,,8.2
Rock Island,2022-05-01,,11,,,,,,,,,,,,8.4
Rock Island,2022-05-02,,90,,1,1,,,,,,,,,8.4
Rock Island,2022-05-03,,104,,1,1,,,,,,,,,8.6
Rock Island,2022-05-04,,56,,,,,,,,,,,,8.7
Rock Island,2022-05-05,,248,,1,1,,,,,,,,,8.8
Rock Island,2022-05-06,,413,2,3,2,,,,,,,,,8.7
Rock Island,2022-05-07,,475,,,,,,,,,,,,8.7
Rock Island,2022-05-08,,953,2,,,,,,,,,,,8.8
Rock Island,2022-05-09,,763,2,1,1,,,,,,,,,9
Rock Island,2022-05-10,,559,7,,,,,,,,,,,9
Rock Island,2022-05-11,,534,7,,,,,,,,,,,9
Rock Island,2022-05-12,,1223,13,1,1,,,,,,,,,8.9
Rock Island,2022-05-13,,1018,12,1,,,,,,,,,,8.8
Rock Island,2022-05-14,,927,16,,,,,,,,,,,8.6
Rock Island,2022-05-15,,969,43,2,2,,,,,,,,,8.7
Rock Island,2022-05-16,,823,35,,,,,,,,,,,8.9
Rock Island,2022-05-17,,693,34,,,,,,,,,,,9
Rock Island,2022-05-18,,663,75,,,,,,,,,,,9.3
Rock Island,2022-05-19,,476,95,,,,,,,,,,,9.4
Rock Island,2022-05-20,,441,71,,,,,,,,,,,9.6
Rock Island,2022-05-21,,860,104,,,,,,,,,,,9.7
