Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Rocky Reach,2022-02-24,,,,,,,,,,,,,,2.8
Rocky Reach,2022-03-09,,,,3,1,,,,,,,,,3.6
Rocky Reach,2022-03-10,,,,2,,,,,,,,,,3.6
Rocky Reach,2022-03-11,,,,1,,,,,,,,,,3.5
Rocky Reach,2022-03-12,,,,3,1,,,,,,,,,3.4
Rocky Reach,2022-03-13,,,,2,1,,,,,,,,,3.4
Rocky Reach,2022-03-14,,,,1,1,,,,,,,,,3.5
Rocky Reach,2022-03-15,,,,2,1,,,,,,,,,3.7
Rocky Reach,2022-03-16,,,,,,,,,,,,,,3.9
Rocky Reach,2022-03-17,,,,2,1,,,,,,,,,4.1
Rocky Reach,2022-03-18,,,,1,1,,,,,,,,,4.1
Rocky Reach,2022-03-19,,,,3,1,,,,,,,,,4.2
Rocky Reach,2022-03-20,,,,,,,,,,,,,,4.2
Rocky Reach,2022-03-21,,,,3,1,,,,,,,,,4.3
Rocky Reach,2022-03-22,,,,2,,,,,,,,,,4.5
Rocky Reach,2022-03-23,,,,,,,,,,,,,,4.5
Rocky Reach,2022-03-24,,,,,,,,,,,,,,4.5
Rocky Reach,2022-03-25,,,,,,,,,,,,,,4.5
Rocky Reach,2022-03-26,,,,3,1,,,,,,,,,4.6
Rocky Reach,2022-03-27,,,,,,,,,,,,,,4.8
Rocky Reach,2022-03-28,,,,3,2,,,,,,,,,4.9
Rocky Reach,2022-03-29,,,,2,2,,,,,,,,,5.1
Rocky Reach,2022-03-30,,,,3,1,,,,,,,,,5.4
Rocky Reach,2022-03-31,,,,2,2,,,,,,,,,5.6
Rocky Reach,2022-04-01,,,,1,1,,,,,,,,,5.5
Rocky Reach,2022-04-02,,,,3,1,,,,,,,,,5.6
Rocky Reach,2022-04-03,,,,,,,,,,,,,,5.7
Rocky Reach,2022-04-04,,,,,,,,,,,,,,5.7
Rocky Reach,2022-04-05,,,,4,1,,,,,,,,,5.8
Rocky Reach,2022-04-06,,,,3,1,,,,,,,,,5.7
Rocky Reach,2022-04-07,,,,5,2,,,,,,,,,5.8
Rocky Reach,2022-04-08,,,,1,1,,,,,,,,,5.9
Rocky Reach,2022-04-09,,,,3,1,,,,,,,,,6
Rocky Reach,2022-04-10,,,,4,2,,,,,,,,,6
Rocky Reach,2022-04-11,,,,4,2,,,,,,,,,6
Rocky Reach,2022-04-12,,,,1,1,,,,,,,,,5.8
Rocky Reach,2022-04-13,,,,2,2,,,,,,,,,5.7
Rocky Reach,2022-04-14,,,,3,1,,,,,,,,,5.6
Rocky Reach,2022-04-15,,,,2,,,,,,,,,,5.7
Rocky Reach,2022-04-16,,,,4,,,,,,,,,,5.7
Rocky Reach,2022-04-17,,,,4,1,,,,,,,,,5.8
Rocky Reach,2022-04-18,,,,1,,,,,,,,,,6
Rocky Reach,2022-04-19,,,,3,1,,,,,,,,,6
Rocky Reach,2022-04-20,,,,2,1,,,,,,,,,6.1
Rocky Reach,2022-04-21,,4,,3,1,,,,,,,,,6.2
Rocky Reach,2022-04-22,,1,,3,1,,,,,,,,,6.4
Rocky Reach,2022-04-23,,2,,3,2,,,,,,,,,6.7
Rocky Reach,2022-04-24,,,,2,1,,,,,,,,,7
Rocky Reach,2022-04-25,,,,3,1,,,,,,,,,7.3
Rocky Reach,2022-04-26,,,,1,,,,,,,,,,7.5
Rocky Reach,2022-04-27,,4,,2,2,,,,,,,,,7.8
Rocky Reach,2022-04-28,,4,,,,,,,,,,,,7.8
Rocky Reach,2022-04-29,,1,,2,1,,,,,,,,,7.9
Rocky Reach,2022-04-30,,1,,,,,,,,,,,,8.1
Rocky Reach,2022-05-01,,2,,,,,,,,,,,,8.2
Rocky Reach,2022-05-02,,8,,1,1,,,,,,,,,8.3
Rocky Reach,2022-05-03,,6,,1,,,,,,,,,,8.4
Rocky Reach,2022-05-04,,9,,1,1,,,,,,,,,8.5
Rocky Reach,2022-05-05,,5,,1,,,,,,,,,,8.6
Rocky Reach,2022-05-06,,22,,,,,,,,,,,,8.6
Rocky Reach,2022-05-07,,49,,4,2,,,,,,,,,8.6
Rocky Reach,2022-05-08,,112,,2,1,,,,,,,,,8.8
Rocky Reach,2022-05-09,,171,,,,,,,,,,,,8.9
Rocky Reach,2022-05-10,,132,1,1,1,,,,,,,,,8.9
Rocky Reach,2022-05-11,,113,6,1,,,,,,,,,,8.8
Rocky Reach,2022-05-12,,97,5,,,,,,,,,,,8.8
Rocky Reach,2022-05-13,,149,5,,,,,,,,,,,8.5
