Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
The Dalles,2022-03-01,,,,1,,,,,,,,,,
The Dalles,2022-03-02,,,,-1,-1,,,,,,,,,
The Dalles,2022-03-03,,,,5,,,,,,,,,,
The Dalles,2022-03-04,,,,6,-1,,,,,,,,,
The Dalles,2022-03-05,,,,10,3,,,,,,,,,
The Dalles,2022-03-06,,,,6,,,,,,,,,,
The Dalles,2022-03-07,,,,4,,,,,,,,,,
The Dalles,2022-03-08,,,,20,2,,,,,,,,,
The Dalles,2022-03-09,,,,16,2,,,,,,,,,
The Dalles,2022-03-10,,,,4,,,,,,,,,,
The Dalles,2022-03-11,,,,14,1,,,,,,,,,
The Dalles,2022-03-12,,,,20,2,,,,,,,,,
The Dalles,2022-03-13,,,,13,3,,,,,,,,,
The Dalles,2022-03-14,,3,,9,1,,,,,,,,,
The Dalles,2022-03-15,,1,,14,2,,,,,,,,,
The Dalles,2022-03-16,,1,,19,3,,,,,,,,,
The Dalles,2022-03-17,,,,12,4,,,,,,,,,
The Dalles,2022-03-18,,1,,12,1,,,,,,,,,
The Dalles,2022-03-19,,3,,11,2,,,,,,,,,
The Dalles,2022-03-20,,2,1,22,,,,,,,,,,
The Dalles,2022-03-21,,4,,13,3,,,,,,,,,
The Dalles,2022-03-22,,7,,9,1,,,,,,,,,
The Dalles,2022-03-23,,6,2,6,2,,,,,,,,,
The Dalles,2022-03-24,,13,1,8,3,,,,,,,,,
The Dalles,2022-03-25,,20,1,4,6,,,,,,,,,
The Dalles,2022-03-26,,33,5,11,2,,,,,,,,,
The Dalles,2022-03-27,,24,,6,4,,,,,,,,,
The Dalles,2022-03-28,,28,1,6,1,,,,,,,,,
The Dalles,2022-03-29,,31,2,17,7,,,,,,,,,
The Dalles,2022-03-30,,79,2,8,2,,,,,,,,,7.8
The Dalles,2022-03-31,,93,4,9,6,,,,,,,,,7.7
The Dalles,2022-04-01,Sp,79,,10,5,,,,,,,,,7.8
The Dalles,2022-04-02,Sp,80,,6,4,,,,,,,,,8.1
The Dalles,2022-04-03,Sp,120,,5,3,,,,,,,,,8.2
The Dalles,2022-04-04,Sp,67,2,5,4,,,,,,,,,8.4
The Dalles,2022-04-05,Sp,48,1,,1,,,,,,,,,8.4
The Dalles,2022-04-06,Sp,42,1,6,3,,,,,,,,,8.4
The Dalles,2022-04-07,Sp,33,,4,1,,,,,-1,,,,8.6
The Dalles,2022-04-08,Sp,41,1,1,1,,,,,,,,,8.9
The Dalles,2022-04-09,Sp,31,2,1,1,,,,,,,,,8.9
The Dalles,2022-04-10,Sp,63,,4,2,,,,,,,,,8.8
The Dalles,2022-04-11,Sp,49,1,1,,,,,,,,,,8.5
The Dalles,2022-04-12,Sp,48,1,3,2,,,,,,,,,8.5
The Dalles,2022-04-13,Sp,44,,8,4,,,,,,,,,8.6
The Dalles,2022-04-14,Sp,60,,2,2,,,,,,,,,8.7
The Dalles,2022-04-15,Sp,38,,4,3,,,,,,,,,8.7
The Dalles,2022-04-16,Sp,46,1,3,2,,,,,,,,,8.8
The Dalles,2022-04-17,Sp,128,,3,1,,,,,,,,,8.7
The Dalles,2022-04-18,Sp,243,3,2,2,,,,,,,,,8.7
The Dalles,2022-04-19,Sp,221,3,5,4,,,,,,,,,8.7
The Dalles,2022-04-20,Sp,233,3,2,1,,,,,,,,,8.7
The Dalles,2022-04-21,Sp,259,5,1,1,,,,,,,,,8.8
The Dalles,2022-04-22,Sp,247,6,3,3,,,,,,,,,9
The Dalles,2022-04-23,Sp,371,6,3,2,,,,,,,,,9.2
The Dalles,2022-04-24,Sp,878,4,1,1,,,,,,,,,9.3
The Dalles,2022-04-25,Sp,1892,22,2,1,,,,,,,,,9.3
The Dalles,2022-04-26,Sp,1624,32,2,1,,,,,,,,,9.4
The Dalles,2022-04-27,Sp,2062,19,6,5,,,,,,,,,9.4
The Dalles,2022-04-28,Sp,3089,79,,,,,,,,,,,9.6
The Dalles,2022-04-29,Sp,3396,97,1,,,,,,,,,,9.7
The Dalles,2022-04-30,Sp,4242,96,2,2,,,,,,,,,10.1
The Dalles,2022-05-01,Sp,3475,116,2,1,,,,,,,,,10.3
The Dalles,2022-05-02,Sp,4205,114,2,1,,,,,,,,,10.7
The Dalles,2022-05-03,Sp,4659,130,4,3,,,,,,,,,10.7
The Dalles,2022-05-04,Sp,6575,163,4,,,,,,,,,,10.9
The Dalles,2022-05-05,Sp,8811,324,1,1,,,,,,,,,11.2
The Dalles,2022-05-06,Sp,5063,386,4,2,,,,,,,,,11.3
The Dalles,2022-05-07,Sp,4264,381,,,,,,,,,,,11.5
The Dalles,2022-05-08,Sp,2579,340,,,,,,,,,,,11.4
The Dalles,2022-05-09,Sp,1672,193,1,1,,,,,,,,,11.4
The Dalles,2022-05-10,Sp,1675,225,1,,,,,,,,,,11.5
The Dalles,2022-05-11,Sp,2869,387,2,1,,,,,,,,,11.6
The Dalles,2022-05-12,Sp,3073,506,1,,,,,,,,,,11.6
The Dalles,2022-05-13,Sp,5547,1221,1,,,,,,,,,,11.5
The Dalles,2022-05-14,Sp,2756,722,3,1,,,,,,,,,11.7
The Dalles,2022-05-15,Sp,2024,750,,-1,,,,,,,,,12
The Dalles,2022-05-16,Sp,2770,896,,,,,,,,,,,12.4
The Dalles,2022-05-17,Sp,2622,1222,1,1,,,,,,,,,12.5
The Dalles,2022-05-18,Sp,3107,1421,-1,,,,,,,,,,12.5
The Dalles,2022-05-19,Sp,2076,1154,1,,,,,,,,,,12.5
The Dalles,2022-05-20,Sp,1385,941,2,1,,,,,,,,,12.4
The Dalles,2022-05-21,Sp,1722,743,3,,,,,,,,,,12.6
The Dalles,2022-05-22,Sp,1560,608,3,2,,,,,,,,,12.6
The Dalles,2022-05-23,Sp,1583,428,3,1,,,,,,,,,12.7
The Dalles,2022-05-24,Sp,1331,376,1,,,,,,,,,,12.7
The Dalles,2022-05-25,Sp,1452,361,3,2,,,,,,,,,12.8
The Dalles,2022-05-26,Sp,1130,319,5,1,1,,,,,,,,12.9
The Dalles,2022-05-27,Sp,1591,304,1,1,5,,,,,,,,13
The Dalles,2022-05-28,Sp,1448,376,2,-1,3,,,,,,,,13
The Dalles,2022-05-29,Sp,1495,231,10,6,7,,,,,,,,13.1
The Dalles,2022-05-30,Sp,1743,332,4,1,7,,,,,,,,13.1
The Dalles,2022-05-31,Sp,1197,240,7,4,8,,,,,,,,13.2
The Dalles,2022-06-01,Sp,1489,281,11,6,31,,,,,,,,13.4
The Dalles,2022-06-02,Sp,1146,244,6,,38,,,,,,,,13.3
The Dalles,2022-06-03,Sp,1644,169,10,4,49,,,,,,,,13.2
The Dalles,2022-06-04,Su,1222,233,5,2,33,,,,,,,,13.2
The Dalles,2022-06-05,Su,1605,150,8,3,162,,,,,,,,13.5
The Dalles,2022-06-06,Su,1202,219,6,2,337,,,,,,,,14
The Dalles,2022-06-07,Su,1396,245,11,3,769,,,,,,,,14.3
The Dalles,2022-06-08,Su,1369,250,13,6,843,,,,,,,,14.5
The Dalles,2022-06-09,Su,1238,162,20,9,721,,,,,,,,14.2
The Dalles,2022-06-10,Su,1447,184,27,10,686,,,,,,,,14.2
The Dalles,2022-06-11,Su,1436,186,10,7,771,,,,,,,,14.4
The Dalles,2022-06-12,Su,1523,183,18,5,858,,,,,,,,14.3
The Dalles,2022-06-13,Su,1237,281,27,15,1041,,,,1,,,,14
The Dalles,2022-06-14,Su,1234,134,27,7,1496,,,,1,,,,13.8
The Dalles,2022-06-15,Su,840,185,15,6,1046,,,,,,,,13.6
The Dalles,2022-06-16,Su,1200,97,36,6,3686,,,,,,,,13.7
The Dalles,2022-06-17,Su,802,138,23,13,2066,,,,,,,,13.6
The Dalles,2022-06-18,Su,972,109,38,2,3604,,,,,,,,13.9
The Dalles,2022-06-19,Su,1136,180,41,20,5095,,,,,,,,14
The Dalles,2022-06-20,Su,1288,123,40,16,5989,,,,,,,,14
The Dalles,2022-06-21,Su,1334,158,61,26,6653,,,,2,,,,14.1
The Dalles,2022-06-22,Su,959,1482,42,7,7444,,,,,,,,14.3
The Dalles,2022-06-23,Su,1788,145,49,19,21961,,,,1,,,,14.4
The Dalles,2022-06-24,Su,1670,249,94,20,25590,,,,1,,,,14.7
The Dalles,2022-06-25,Su,2279,155,125,45,31246,,,,1,,,,15.2
The Dalles,2022-06-26,Su,2696,257,161,47,27607,,,,17,,,,15.6
