Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Wanapum,2022-04-15,,1,,,,,,,,,,,,6.3
Wanapum,2022-04-16,,,,,,,,,,,,,,6.2
Wanapum,2022-04-17,,1,,,,,,,,,,,,6
Wanapum,2022-04-18,,1,,,,,,,,,,,,6.2
Wanapum,2022-04-19,,,,,,,,,,,,,,6.2
Wanapum,2022-04-20,,1,,,,,,,,,,,,6.4
Wanapum,2022-04-21,,2,,,,,,,,,,,,6.5
Wanapum,2022-04-22,,3,1,1,,,,,,,,,,6.6
Wanapum,2022-04-23,,5,,1,,,,,,,,,,7
Wanapum,2022-04-24,,56,2,,,,,,,,,,,7.6
Wanapum,2022-04-25,,30,,5,,,,,,1,,,,7.7
Wanapum,2022-04-26,,6,1,1,,,,,,,,,,7.5
Wanapum,2022-04-27,,22,1,1,,,,,,,,,,7.9
Wanapum,2022-04-28,,21,2,1,,,,,,,,,,8.3
Wanapum,2022-04-29,,115,,,,,,,,,,,,8.3
Wanapum,2022-04-30,,3,,,,,,,,,,,,8.6
Wanapum,2022-05-01,,55,1,,,,,,,,,,,8.8
Wanapum,2022-05-02,,182,,,,,,,,,,,,9
Wanapum,2022-05-03,,47,,,,,,,,,,,,
Wanapum,2022-05-04,,593,1,,,,,,,,,,,
Wanapum,2022-05-05,,456,,,,,,,,,,,,
Wanapum,2022-05-06,,722,4,,,,,,,,,,,9.3
Wanapum,2022-05-07,,828,2,,,,,,,,,,,9.2
Wanapum,2022-05-08,,1059,4,2,,,,,,,,,,9.3
Wanapum,2022-05-09,,300,4,,,,,,,,,,,9.2
Wanapum,2022-05-10,,630,9,,,,,,,,,,,9.1
Wanapum,2022-05-11,,1532,21,1,,,,,,,,,,
Wanapum,2022-05-12,,1114,17,,,,,,,,,,,
Wanapum,2022-05-13,,1288,6,,,,,,,,,,,
Wanapum,2022-05-14,,1180,36,,,,,,,,,,,9.5
Wanapum,2022-05-15,,854,2,,,,,,,,,,,9.5
Wanapum,2022-05-16,,96,27,,,,,,,,,,,9.4
Wanapum,2022-05-17,,150,27,,,,,,,,,,,9.5
Wanapum,2022-05-18,,697,47,,,,,,,,,,,9.7
Wanapum,2022-05-19,,390,82,,,,,,,,,,,9.5
Wanapum,2022-05-20,,1601,33,1,,,,,,,,,,9.7
Wanapum,2022-05-21,,624,74,1,,,,,,,,,,10
Wanapum,2022-05-22,,605,157,3,,,,,,,,,,10.4
Wanapum,2022-05-23,,533,118,1,,,,,,,,,,10.2
Wanapum,2022-05-24,,359,51,1,,,,,,,,,,10.2
Wanapum,2022-05-25,,495,173,,,,,,,1,,,,10.4
Wanapum,2022-05-26,,557,235,,,,,,,,,,,10.5
Wanapum,2022-05-27,,425,189,2,,,,,,,,,,10.3
Wanapum,2022-05-28,,517,211,,,2,,,,2,,,,10.5
Wanapum,2022-05-29,,294,236,,,,,,,,,,,10.5
Wanapum,2022-05-30,,380,347,3,,,,,,,,,,10.6
Wanapum,2022-05-31,,96,157,,,,,,,,,,,10.9
Wanapum,2022-06-01,,260,86,,,,,,,,,,,11.2
Wanapum,2022-06-02,,172,51,,,,,,,,,,,11.4
Wanapum,2022-06-03,,214,109,,,,,,,,,,,11.3
Wanapum,2022-06-04,,244,81,,,,,,,,,,,11.4
Wanapum,2022-06-05,,171,80,,,,,,,,,,,11.2
Wanapum,2022-06-06,,104,78,,,,,,,,,,,11.4
Wanapum,2022-06-07,,224,87,1,,,,,,,,,,11.4
Wanapum,2022-06-08,,183,59,,,,,,,,,,,11.8
Wanapum,2022-06-09,,82,2,1,,,,,,,,,,11.4
Wanapum,2022-06-10,,86,22,,,11,,,,1,,,,11.6
Wanapum,2022-06-11,,167,40,,,3,,,,,,,,11.7
Wanapum,2022-06-12,,194,8,,,,,,,,,,,11.7
Wanapum,2022-06-13,,138,54,,,3,,,,,,,,11.8
Wanapum,2022-06-14,,217,84,1,,,,,,,,,,11.7
Wanapum,2022-06-15,,326,68,,,38,,,,,,,,11.8
Wanapum,2022-06-16,,125,9,,,1,,,,,,,,12
Wanapum,2022-06-17,,183,38,1,,19,,,,,,,,12
Wanapum,2022-06-18,,262,51,,,55,,,,,,,,11.8
Wanapum,2022-06-19,,369,44,1,,119,,,,,,,,12
Wanapum,2022-06-20,,306,3,,,71,,,,,,,,12.5
Wanapum,2022-06-21,,259,23,,,73,,,,,,,,12.7
Wanapum,2022-06-22,,360,7,1,,152,,,,,,,,13.1
