Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Wells,2022-05-01,,,,2,1,,,,,,,,,7.8
Wells,2022-05-02,,2,,2,2,,,,,,,,,7.9
Wells,2022-05-03,,,,2,2,,,,,,,,,7.9
Wells,2022-05-04,,,,3,2,,,,,,,,,8.1
Wells,2022-05-05,,3,,3,2,,,,,,,,,8.3
Wells,2022-05-06,,8,,2,2,,,,,,,,,8.3
Wells,2022-05-07,,4,,,,,,,,,,,,8.3
Wells,2022-05-08,,1,,,,,,,,,,,,8.4
Wells,2022-05-09,,9,,2,2,,,,,,,,,8.4
Wells,2022-05-10,,38,,1,1,,,,,,,,,8.3
Wells,2022-05-11,,105,1,3,1,,,,,,,,,8.3
Wells,2022-05-12,,84,,1,1,,,,,,,,,8.1
Wells,2022-05-13,,81,2,2,1,,,,,,,,,8.2
Wells,2022-05-14,,108,4,1,1,,,,,,,,,8.5
Wells,2022-05-15,,143,8,,,,,,,,,,,8.5
Wells,2022-05-16,,131,1,,,,,,,,,,,8.6
Wells,2022-05-17,,140,9,1,1,,,,,,,,,8.8
Wells,2022-05-18,,138,5,1,1,,,,,,,,,9
Wells,2022-05-19,,195,20,3,3,,,,,,,,,9.3
Wells,2022-05-20,,164,6,1,,,,,,,,,,9.1
Wells,2022-05-21,,109,8,,,,,,,,1,,,9.1
Wells,2022-05-22,,93,16,1,1,,,,,,,,,9.1
Wells,2022-05-23,,71,23,1,1,,,,,,,,,9.3
Wells,2022-05-24,,85,38,,,,,,,,,,,9.6
Wells,2022-05-25,,77,28,,,,,,,,,,,9.9
Wells,2022-05-26,,141,71,,,,,,,,3,,,10.1
Wells,2022-05-27,,193,53,,,,,,,,3,,,10.2
Wells,2022-05-28,,270,124,,,,,,,,2,,,10.2
Wells,2022-05-29,,120,73,1,1,,,,,,,,,10.3
Wells,2022-05-30,,88,115,,,,,,,,,,,10.3
Wells,2022-05-31,,77,160,,,,,,,,,,,10.2
Wells,2022-06-01,,128,166,,,1,,,,,1,,,10.4
Wells,2022-06-02,,175,213,,,,,,,,,,,10.6
Wells,2022-06-03,,94,166,,,,,,,,,,,10.7
